YYYY-MM-DD	hh:mm:ss	Status	Interval [s]	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	RI [mm/h]	RA [mm]	RAT [mm]
2022-02-26	13:47:00		60	6	8	2	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0319	0,0005	497,9091
2022-02-26	13:48:00		60	5	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0099	0,0002	497,9092
2022-02-26	13:49:00		60	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0105	0,0002	497,9094
2022-02-26	13:50:00		60	4	2	2	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0249	0,0004	497,9098
2022-02-26	13:51:00		60	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0106	0,0002	497,9100
2022-02-26	13:52:00		60	2	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0094	0,0002	497,9102
2022-02-26	13:53:00		60	5	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0154	0,0003	497,9104
2022-02-26	13:54:00		60	2	2	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0126	0,0002	497,9106
2022-02-26	13:55:00		60	0	4	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0183	0,0003	497,9109
2022-02-26	13:56:00		60	3	1	7	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0200	0,0003	497,9113
2022-02-26	13:57:00		60	1	1	2	5	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0570	0,0009	497,9122
2022-02-26	13:58:00		60	3	1	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0175	0,0003	497,9125
2022-02-26	13:59:00		60	3	3	4	4	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0523	0,0009	497,9134
2022-02-26	14:00:00		60	2	2	3	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0365	0,0006	497,9140
2022-02-26	14:01:00		60	0	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0254	0,0004	497,9144
2022-02-26	14:02:00		60	1	2	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0155	0,0003	497,9147
2022-02-26	14:03:00		60	2	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0108	0,0002	497,9148
2022-02-26	14:04:00		60	1	2	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0274	0,0005	497,9153
2022-02-26	14:05:00		60	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0060	0,0001	497,9154
2022-02-26	14:06:00		60	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0035	0,0001	497,9155
2022-02-26	14:07:00		60	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0126	0,0002	497,9157
2022-02-26	14:08:00		60	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0024	0,0000	497,9157
2022-02-26	14:09:00		60	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0045	0,0001	497,9158
2022-02-26	14:10:00		60	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0046	0,0001	497,9159
2022-02-26	14:11:00		60	1	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0127	0,0002	497,9161
2022-02-26	14:12:00		60	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0122	0,0002	497,9163
2022-02-26	14:13:00		60	1	1	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0178	0,0003	497,9166
2022-02-26	14:14:00		60	2	1	2	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0306	0,0005	497,9171
2022-02-26	14:15:00		60	0	0	4	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0242	0,0004	497,9175
2022-02-26	14:16:00		60	1	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0179	0,0003	497,9178
2022-02-26	14:17:00		60	1	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0336	0,0006	497,9183
2022-02-26	14:18:00		60	0	0	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0220	0,0004	497,9187
2022-02-26	14:19:00		60	1	2	0	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0477	0,0008	497,9195
2022-02-26	14:20:00		60	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0249	0,0004	497,9199
2022-02-26	14:21:00		60	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0191	0,0003	497,9202
2022-02-26	14:22:00		60	1	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0209	0,0003	497,9206
2022-02-26	14:23:00		60	1	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0181	0,0003	497,9209
2022-02-26	14:24:00		60	3	0	2	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0284	0,0005	497,9214
2022-02-26	14:25:00		60	0	1	0	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0504	0,0008	497,9222
2022-02-26	14:26:00		60	0	1	7	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0246	0,0004	497,9226
2022-02-26	14:27:00		60	3	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0108	0,0002	497,9228
2022-02-26	14:28:00		60	0	0	1	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0344	0,0006	497,9234
2022-02-26	14:29:00		60	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0024	0,0000	497,9234
